repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
jatubio/ja_duilio_curso-laravel-5,PHP,0.45614,1,0,0.379115,0,0,0,15570,0.004412,2,0,0,1,0
chmaltsp/rampup,Ruby,0.333333,1,0,0,0,0,0,47,0,0,0,0,0,0
android-ia/platform_external_hwids,Python,0,2,0,0.019608,2.083333,0,1,101,0,0,0,0,1,1
android-ia/platform_bootable_droidboot,C,0.923077,2,0,0.175538,4.733333,0,1,2177,0,1,1,0,1,1
wonghenny/rampup,Ruby,0,1,0,0,0,0,0,25,0,0,0,0,0,0
android-ia/packages_apps_apps-for-android,Java,0.992424,11,0,0.26823,2.222222,0,1,24343,0,0,1,0,1,1
android-ia/hardware_intel_libcamera,C++,0.967742,2,0,0.150829,0.758621,0,1,6340,0,0,0,0,1,1
Congitron/mapmaker,Python,0.846154,1,0,0.136924,0,0,0,1896,0,0,0,0,0,0
nathanarohde/2015-03-30_ajax_rails_twitter_clone,Ruby,0.179487,1,0,0.430435,0,0,0,431,0,0,0,0,0,0
openpeer/opus,C,0.868056,4,0,0.173568,0.444444,0,1,92357,0.054195,0,1,0,1,1
android-ia/packages_apps_AndroidTerm,Java,0.85,3,0,0.191078,20,0,1,17825,0.045203,0,1,0,1,1
vvilp/ML,C#,0.25,1,0,0.126761,0,0,0,124,0,0,0,0,0,0
kalabharath/zinr,C,0.857143,1,0,0.161249,0,0,0,4624,0,0,0,0,0,0
android-ia/packages_apps_Widgets,Java,1,1,0,0.15651,46,0,1,1860,0.142619,0,1,0,1,1
android-ia/platform_external_parted,C,0.883562,2,0,0.166676,25,0,1,44263,0.11816,0,1,0,1,1
android-ia/platform_external_kexec-tools,C,0.83871,10,0,0.185392,2.564103,0,1,28480,0,0,1,0,1,1
xianc/Persistent-File-System,Java,1,1,0,0.026756,0,0,0,291,0,0,0,0,0,0
jhector/armhook-core,C++,1,0,0,0.052853,0,0,1,2063,0,3,0,0,1,0
marciorita/teste1,C#,0.333333,1,0,0.061275,0,0,0,232,0,0,0,0,0,0
zerohouse/next,Java,0.940299,1,0,0.000776,0,0,0,2577,0.063551,0,0,0,0,0
ljorgens/twitter_clone_rails,Ruby,0.318182,2,0,0.492664,0,0,0,897,0.183727,0,0,0,1,0
dhmath/practice,Python,0,1,0,0.264423,0,0,0,156,0,0,0,0,0,0
marstornado/rubyblog,Ruby,0.22449,1,0,0.349057,0,0,0,763,0.261628,0,0,0,1,0
laurenemarcus/yakker,Ruby,0.2,2,0,0.080224,0,0,0,7439,0.184282,0,0,0,1,0
lboquillon/nuca,C++,0.909091,1,0,0.160945,30.5,0,1,1748,0.142536,0,1,0,1,1
weierophinney/apigility-3hr-tutorial,PHP,0.851152,1,0,0.289448,63,0,1,373650,0.001789,7,1,0,1,0
NikolaArsenovic/BookstoreWebShop,C#,0.517241,1,0,0.032797,0,0,0,127162,0,0,0,0,0,0
android-ia/platform_bootable_bootloader_legacy,C,0,4,0,0,0.463415,0,0,0,0,0,0,0,1,0
mareSLO/kazino,Python,0,1,0,0,0,0,0,15,0,0,0,0,0,0
AnwarShahriar/ActivityRecognitionApiTest,Java,0.6,1,0,0.532729,0,0,0,464,0,0,0,0,0,0
lil3ddi3/Project1,PHP,0,1,0,0,0,0,0,49,0,0,0,0,0,0
android-ia/platform_bootable_diskinstaller,C,0.666667,5,0,0.155864,0.977273,0,1,805,0,0,0,0,1,1
devangel/splitapp,C#,0.804348,2,0,0.016271,0,0,1,67235,0,0,0,0,1,0
android-ia/device_intel_debug_tools,C,0.550633,12,0,0.294952,2.888889,0,1,42113,0,0,1,0,1,1
AngusJK/Rotten-Mangoes,Ruby,0.2,1,0,0.316684,0,0,0,815,0.158537,0,0,0,1,0
ernieballsep/HearthStoneInfoTracker,C#,0.882353,1,0,0.21341,0,0,1,19667,0.029851,0,0,0,1,0
FizzHere/RpgPlugin,Java,1,1,0,0.439819,0,0,0,1857,0,0,0,0,0,0
sambenison66/Ring-Coordinator-Election-Algorithm-using-Java,Java,0,1,0,0.198098,0,0,0,508,0,0,0,0,0,0
android-ia/platform_vendor_intel_recovery_plugins,C,0.75,2,0,0.105315,4.5,0,1,953,0,0,1,0,1,1
gabefinch/quacker,Ruby,0.210526,2,0,0.517413,0,0,0,856,0.151899,0,0,0,1,0
marekhakala/python-projects,Python,1,1,0,0.24569,0,0,1,179,0,0,0,0,1,1
nateyb93/SOSDataExtractor,Python,0,1,0,0.597403,0,0,0,31,0,0,0,0,0,0
tliu17/Huffman,Java,0,1,0,0.149733,0,0,0,159,0,0,0,0,0,0
openfly/openstack-gender,Python,0.5,1,0,0.103448,0,0,0,29,0,0,0,0,0,0
tliu17/Heap,Java,0,1,0,0.085106,0,0,0,43,0,0,0,0,0,0
cw29482/Methods,Java,0,1,0,0,12,0,0,43,0,0,0,0,0,0
tliu17/Maze,Java,1,1,0,0.350388,0,0,0,419,0,0,0,0,0,0
happyabbi/Peachingthegospel,Java,0.9,1,0,0.098284,0,0,1,2575,0,0,0,0,1,0
nikollaf/MList4,PHP,0.230769,1,0,0.495125,0,0,0,20726,0.015814,0,0,0,1,0
